,state,city,county,year,day_of_week,hospital,lighting,population_type,weather,fatalities
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Sunday,1,Dark - Not Lighted,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Tuesday,0,Dark - Not Lighted,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Friday,0,Daylight,Urban,Clear,1
0,Utah,PROVO,UTAH (49),2022,Monday,1,Daylight,Urban,Clear,2
0,Utah,HERRIMAN,SALT LAKE (35),2022,Wednesday,0,Dark - Not Lighted,Urban,Clear,1
0,Utah,WEST VALLEY CITY,SALT LAKE (35),2022,Tuesday,0,Dark - Not Lighted,Urban,Clear,1
0,Utah,MOUNTAIN GREEN,MORGAN (29),2022,Tuesday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,RICHFIELD,SEVIER (41),2022,Friday,1,Daylight,Urban,Clear,1
0,Utah,ROOSEVELT,DUCHESNE (13),2022,Thursday,0,Daylight,Rural,Clear,1
0,Utah,CLEARFIELD,DAVIS (11),2022,Saturday,1,Daylight,Urban,Clear,1
0,Utah,TOOELE,TOOELE (45),2022,Saturday,1,Dark - Not Lighted,Rural,Cloudy,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Monday,1,Daylight,Urban,Clear,1
0,Utah,LAKEPOINT,TOOELE (45),2022,Sunday,0,Daylight,Rural,Severe Crosswinds,1
0,Utah,Other,SAN JUAN (37),2022,Saturday,1,Daylight,Rural,Cloudy,1
0,Utah,DRAPER,SALT LAKE (35),2022,Sunday,0,Dark - Lighted,Urban,Clear,1
0,Utah,GREEN RIVER,GRAND (19),2022,Wednesday,1,Daylight,Rural,Cloudy,1
0,Utah,WEST JORDAN,SALT LAKE (35),2022,Tuesday,1,Daylight,Urban,Cloudy,1
0,Utah,MURRAY,SALT LAKE (35),2022,Monday,0,Dawn,Urban,Clear,1
0,Utah,SALT LAKE CITY,SALT LAKE (35),2022,Wednesday,0,Daylight,Urban,Cloudy,1
0,Utah,SPANISH FORK,UTAH (49),2022,Thursday,1,Daylight,Urban,Clear,1
0,Utah,BEAVER,BEAVER (1),2022,Saturday,1,Daylight,Rural,Rain,1
0,Utah,ROY,WEBER (57),2022,Monday,1,Daylight,Urban,Clear,1
0,Utah,HERRIMAN,SALT LAKE (35),2022,Tuesday,0,Dark - Not Lighted,Urban,Clear,1
0,Utah,MOAB,GRAND (19),2022,Saturday,0,Dark - Not Lighted,Rural,Clear,1
0,Utah,THOMPSON SPRINGS,GRAND (19),2022,Sunday,1,Daylight,Rural,Rain,1
0,Utah,LAYTON,DAVIS (11),2022,Wednesday,1,Daylight,Urban,Cloudy,1
